Name,Volume
Bitcoin,"$ 70,972,193,249.8205"
Ethereum,"$ 44,581,908,324.9338"
Tether,"$148,797,311,231.2127"
BNB,"$  3,736,806,315.3330"
USD Coin,"$ 10,160,369,261.8525"
XRP,"$  4,175,229,588.9160"
Solana,"$  4,316,270,696.7134"
Cardano,"$  2,826,463,283.1709"
Binance USD,"$  9,845,896,847.6012"
TerraUSD,"$  5,421,949,759.8362"
Dogecoin,"$  1,980,219,874.6691"
Avalanche,"$  1,830,882,102.1790"
Polkadot,"$  1,999,931,515.4228"
Terra,"$ 13,021,719,843.7332"
Shiba Inu,"$  2,244,719,720.0256"
Wrapped Bitcoin,"$    680,909,967.6097"
TRON,"$  2,941,179,469.3533"
Dai,"$    860,513,322.5156"
Polygon,"$  1,663,441,532.7250"
NEAR Protocol,"$  1,852,124,623.0727"
Cronos,"$    138,133,043.6390"
Litecoin,"$  1,901,942,103.8381"
UNUS SED LEO,"$      7,345,556.9184"
FTX Token,"$    252,670,816.9111"
Bitcoin Cash,"$  3,989,217,969.9236"
Uniswap,"$    455,501,972.0597"
Chainlink,"$  1,181,004,732.1351"
Algorand,"$    698,408,941.3690"
Cosmos,"$  1,252,621,600.9104"
Stellar,"$    626,922,340.1069"
Ethereum Classic,"$    769,189,864.1760"
Monero,"$    295,487,275.2391"
ApeCoin,"$  1,983,859,931.7194"
VeChain,"$    478,280,070.8987"
Internet Computer,"$    411,248,393.5372"
Elrond,"$    171,747,629.8937"
Hedera,"$    125,748,395.9039"
Filecoin,"$    991,738,848.6992"
The Sandbox,"$    736,519,900.0955"
Decentraland,"$    608,984,799.2604"
Tezos,"$    185,465,742.5895"
Theta Network,"$    401,093,724.9488"
PancakeSwap,"$    277,265,245.2696"
EOS,"$  1,083,769,205.4351"
THORChain,"$    304,465,285.2675"
Axie Infinity,"$    664,091,336.9037"
Aave,"$    451,076,940.4364"
Fantom,"$    670,815,596.3149"
Flow,"$    308,030,754.7538"
Helium,"$     40,720,399.3455"
KuCoin Token,"$     19,949,515.8817"
Klaytn,"$    129,260,955.7421"
Zcash,"$    289,909,827.2300"
BitTorrent-New,"$    185,490,572.3988"
